filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu=18_randwrite.json,nbcpu,randwrite,4k,18,0.0,1059.71,0.0,4139.48,0.0,0.0,1011.22,2113.54,13.9,42.08,55.98
test_nbcpu=19_randread.json,nbcpu,randread,4k,19,1069.2,0.0,4176.55,0.0,1061.52,1679.36,0.0,0.0,12.86,39.25,52.11
test_nbcpu=19_randwrite.json,nbcpu,randwrite,4k,19,0.0,1059.44,0.0,4138.44,0.0,0.0,1071.31,2113.54,13.38,40.66,54.04
test_nbcpu=20_randread.json,nbcpu,randread,4k,20,1075.83,0.0,4202.45,0.0,1113.52,2375.68,0.0,0.0,12.58,38.74,51.32
test_nbcpu=20_randwrite.json,nbcpu,randwrite,4k,20,0.0,1063.37,0.0,4153.8,0.0,0.0,1126.26,2867.2,13.04,40.08,53.13
test_nbcpu=21_randread.json,nbcpu,randread,4k,21,1562.12,0.0,6102.03,0.0,807.28,2146.3,0.0,0.0,12.93,40.05,52.98
test_nbcpu=21_randwrite.json,nbcpu,randwrite,4k,21,0.0,1524.84,0.0,5956.39,0.0,0.0,826.97,2572.29,13.61,40.92,54.53
test_nbcpu=22_randread.json,nbcpu,randread,4k,22,1594.38,0.0,6228.05,0.0,830.45,1695.74,0.0,0.0,12.04,36.8,48.84
test_nbcpu=22_randwrite.json,nbcpu,randwrite,4k,22,0.0,1569.09,0.0,6129.25,0.0,0.0,843.62,2056.19,11.79,36.75,48.53
test_nbcpu=23_randread.json,nbcpu,randread,4k,23,1510.56,0.0,5900.63,0.0,918.31,2211.84,0.0,0.0,13.01,39.86,52.87
test_nbcpu=23_randwrite.json,nbcpu,randwrite,4k,23,0.0,1565.68,0.0,6115.92,0.0,0.0,885.79,1925.12,11.4,35.35,46.74
test_nbcpu=24_randread.json,nbcpu,randread,4k,24,1558.71,0.0,6088.7,0.0,930.38,2179.07,0.0,0.0,13.26,40.5,53.76
test_nbcpu=24_randwrite.json,nbcpu,randwrite,4k,24,0.0,1551.49,0.0,6060.49,0.0,0.0,934.69,2539.52,13.39,41.47,54.86
test_nbcpu=25_randread.json,nbcpu,randread,4k,25,1511.21,0.0,5903.16,0.0,1001.13,2277.38,0.0,0.0,13.7,41.99,55.69
test_nbcpu=25_randwrite.json,nbcpu,randwrite,4k,25,0.0,1526.2,0.0,5961.73,0.0,0.0,991.14,2539.52,14.01,42.8,56.81
test_nbcpu=26_randread.json,nbcpu,randread,4k,26,1520.74,0.0,5940.38,0.0,1036.52,2342.91,0.0,0.0,13.97,42.85,56.83
